stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
20636,Encinitas Bl & Quail Gardens Dr,33.047711,-117.279104,,20636,0,,2,N-W/B,,,Encinitas&Quail Gardens
20637,W Vista Way & Emerald Dr,33.188312,-117.280572,,20637,0,,1,F-W/B,wvisem,,W Vista Way&Emerald
20639,Encinitas Bl & Delphinium St,33.048892,-117.276022,,20639,0,,1,F-W/B,,,Encinitas&Delphinium
20642,Oceanside Blvd & Beverly Glen Dr,33.212685,-117.275694,,20642,0,,1,F-W/B,,,Oceanside& Beverly Glen
20643,N Santa Fe Av & Mesa Dr,33.241779,-117.275939,,20643,0,,2,F-W/B,,,N Santa Fe&Mesa
20644,Oceanside Blvd & Peacock Blvd,33.214209,-117.273807,,20644,0,,1,F-W/B,,,Oceanside& Peacockvd
20647,Lomas Santa Fe Dr & Granados Av,32.992883,-117.268755,,20647,0,,2,F-W/B,,,Lomas Santa Fe & Granados
20649,W Vista Way & Hill Dr,33.192136,-117.271681,,20649,0,,1,F-W/B,,,W Vista Way&Hill
20650,Oceanside Blvd & Temple Heights Dr,33.216558,-117.270972,,20650,0,,1,F-W/B,,,Oceanside& Temple Heights
20651,N Santa Fe Av & Champlain St,33.239864,-117.271096,,20651,0,,1,F-W/B,,,N Santa Fe&Champlain
20654,Lomas Santa Fe Dr & Nardo Av,32.995257,-117.265884,,20654,0,,1,N-W/B,,,Lomas Santa Fe & Nardo
20658,Palomar Airport Rd & El Camino Real,33.129514,-117.267885,,20658,0,,1,F-W/B,ecrpal,,Palomar Airport&El Cmo Real
20660,W Vista Way & Santa Clara Dr,33.194155,-117.266353,,20660,0,,2,F-W/B,,,W Vista Way&Santa Clara
20662,N Santa Fe Av & Darwin Dr,33.237900,-117.265016,,20662,0,,2,F-N/B,,,N Santa Fe&Darwin
20664,Lomas Santa Fe Dr & Solana Hills Dr,32.996228,-117.259585,,20664,0,,1,F-W/B,,,Lomas Santa Fe & Solana Hills
20665,W Vista Way & Copper Av,33.194624,-117.262105,,20665,0,,1,F-W/B,,,W Vista Way&Copper
20669,Encinitas Bl & Turner Av,33.045889,-117.255204,,20669,0,,1,F-W/B,,,Encinitas&Turner
20672,W Vista Way & Hwy 78 Wb On Ramp,33.194808,-117.256965,,20672,0,,1,F-W/B,,,W Vista Way&Hwy 78 Wb On Ramp
20679,W Vista Way & Valencia Dr,33.196799,-117.251585,,20679,0,,1,F-W/B,,,W Vista Way&Valencia
20681,Encinitas Bl & Village Park Way,33.045330,-117.249093,,20681,0,,1,F-W/B,,,Encinitas&Vlge Park Way
20686,Vista Village Dr & Camino Corto,33.199928,-117.247646,,20686,0,,1,F-S/B,,,Vista Vlge&Cmo Corto
20687,Encinitas Bl & Willowspring Dr,33.042507,-117.244730,,20687,0,,2,F-N/B,,,Encinitas&Willowspring
20690,Bobier Dr & N Santa Fe Av,33.221270,-117.245644,,20690,0,,1,F-W/B,nsfbob,,Bobier&N Santa Fe
20691,Encinitas Bl & Rancho Santa Fe Rd,33.037696,-117.239347,,20691,0,,2,F-W/B,rsfenS,,Encinitas&Rcho Santa Fe
20693,S Santa Fe Av & Terrace Dr,33.196947,-117.239229,,20693,0,,0,F-N/B,,,S Santa Fe&Ter
20694,Vista Village Dr & Hillside Ter,33.205112,-117.237560,,20694,0,,2,F-S/B,,,Vista Vlge&Hillside
20695,E Vista Way & Franklin Ln,33.207226,-117.236209,,20695,0,,1,F-S/B,,,E Vista Way&Franklin
20696,E Vista Way & Townsite Dr,33.209153,-117.235469,,20696,0,,1,F-S/B,,,E Vista Way&Townsite
20697,La Costa Av & Calle Timiteo,33.079664,-117.232001,,20697,0,,1,F-E/B,,,La Costa&Calle Timiteo
20699,E Vista Way & Anza Av,33.211174,-117.232452,,20699,0,,1,F-W/B,,,E Vista Way&Anza
20700,S Santa Fe Av & Alta Calle,33.192457,-117.230244,,20700,0,,1,F-W/B,,,S Santa Fe&Alta Calle
20701,Eucalyptus Av & Alestar St,33.200676,-117.229662,,20701,0,,2,F-W/B,,,Eucalyptus&Alestar
20702,Via De La Valle & El Camino Real (N),32.983402,-117.226141,,20702,0,,2,N-W/B,,,V dl Valle&El Cmo Real (N)
20706,E Vista Way & Palomar Pl,33.222960,-117.226269,,20706,0,,1,F-S/B,,,E Vista Way&Palomar
20707,Arcadia Av & E Vista Way,33.225000,-117.227255,,20707,0,,1,F-W/B,arcviW,,Arcadia&E Vista Way
20709,S Santa Fe Av & Cypress Dr,33.185650,-117.223859,,20709,0,,1,F-N/B,,,S Santa Fe&Cypress
20710,Poinsettia Av & Island View Way,33.136275,-117.223745,,20710,0,,2,F-S/B,,,Poinsettia&Island View Way
20711,Poinsettia Av & Specialty Dr,33.140962,-117.219544,,20711,0,,2,F-S/B,,,Poinsettia&Specialty
20712,Coventry Rd & Lynmar Ln,33.203192,-117.219739,,20712,0,,2,F-W/B,,,Coventry&Lynmar
20713,Via De La Valle & Cancha De Golf,32.994376,-117.212255,,20713,0,,1,N-S/B,,,V dl Valle&Cancha De Golf
20714,Shadowridge Dr & Sycamore Av,33.164993,-117.217243,,20714,0,,1,F-W/B,sycsha,,Shadowridge&Sycamore
20715,Via De La Valle & Calzada Del Bosque,33.004849,-117.208622,,20715,0,,1,F-S/B,,,V dl Valle&Calzada Del Bosque
20716,S Santa Fe Av & Palmyra Dr,33.171347,-117.207138,,20716,0,,1,F-N/B,,,S Santa Fe&Palmyra
20717,S Santa Fe Av & Bosstick Bl,33.159902,-117.203507,,20717,0,,1,F-N/B,,,S Santa Fe&Bosstick
20718,Paseo Delicias & La Fremontia,33.023514,-117.198855,,20718,0,,1,F-S/B,delvaW,,Paseo Delicias&La Fremontia
20719,S Santa Fe Av & Las Flores Dr,33.157196,-117.200668,,20719,0,,1,F-W/B,,,S Santa Fe&Las Flores
20721,Rancho Santa Fe Rd & Capalina Rd,33.152435,-117.197111,,20721,0,,1,N-S/B,,,Rcho Santa Fe & Capalina
20722,Paseo Delicas & El Montevideo,33.030024,-117.191100,,20722,0,,1,F-S/B,,,Paseo Delicas&El Montevideo
20723,Mission Rd & Crusaders Way,33.145786,-117.175114,,20723,0,,1,F-W/B,,,Mission&Crusaders Way
20725,Mission Rd & Woodward St,33.142407,-117.160992,,20725,0,,1,F-W/B,msnsmW,,Mission & Woodward
20727,Mission Rd & Mulberry Dr,33.144930,-117.150498,,20727,0,,1,F-W/B,,,Mission&Mulberry
20728,Mission Rd & Richland Rd,33.142340,-117.140434,,20728,0,,0,F-W/B,,,Mission & Richland
20730,Mission Rd & Avenida Chapala,33.136939,-117.131128,,20730,0,,1,N-W/B,,,Mission&Avda Chapala
20731,Mission Rd & Auto Park Wy,33.131079,-117.123406,,20731,0,,1,F-W/B,msnnoW,,Mission&Auto Park
20732,El Norte Pkwy & Bennett Av,33.152872,-117.121632,,20732,0,,1,F-W/B,,,El Norte&Bennett
20735,Country Club Ln & La Brea St,33.157684,-117.114048,,20735,0,,1,N-W/B,,,Country Club&La Brea
20736,Harmony Grove Rd & Princess Kyra Pl,33.110449,-117.113941,,20736,0,,2,F-W/B,,,Harmony Grove&Princess Kyra
20737,Country Club Ln & Nutmeg St,33.157407,-117.109477,,20737,0,,1,F-W/B,,,Country Club&Nutmeg
20738,El Norte Pkwy & Nutmeg St,33.147095,-117.106432,,20738,0,,2,N-W/B,,,El Norte&Nutmeg
20740,Valley Pkwy & Auto Park Wy,33.112715,-117.102480,,20740,0,,1,F-S/B,,,Vly&Auto Park
20741,Mission Av & Metcalf St,33.125347,-117.101866,,20741,0,,1,F-W/B,,,Mission&Metcalf
20742,Country Club Ln & Village Rd,33.159223,-117.100143,,20742,0,,1,F-W/B,,,Country Club&Vlge
20743,El Norte Pkwy & Iris Ln,33.144663,-117.098800,,20743,0,,1,F-W/B,,,El Norte&Iris
20744,Country Club Ln & Eastridge Ln,33.159635,-117.096453,,20744,0,,1,F-W/B,,,Country Club & Eastridge
20747,El Norte Pkwy & Seven Oaks Rd,33.146054,-117.102113,,20747,0,,1,N-W/B,,,El Norte&Seven Oaks
20748,Country Club Ln & Iris Ln,33.160647,-117.094117,,20748,0,,2,N-W/B,ccbroW,,Country Club & Iris
20752,El Norte Pkwy & Broadway,33.139749,-117.089977,,20752,0,,0,F-W/B,,,El Norte&Brdwy
20754,Valley Pkwy & Escondido Bl,33.120823,-117.085788,,20754,0,,1,F-W/B,,,Vly&Escondido
20757,Washington Av & Juniper St,33.127834,-117.081272,,20757,0,,1,N-W/B,,,Wshngtn&Juniper
20758,Mission Av & Gamble St,33.131726,-117.081312,,20758,0,,1,F-W/B,,,Mission&Gamble
20760,Mission Av & Fig St,33.132721,-117.078084,,20760,0,,0,F-W/B,msnfiW,,Mission&Fig
20761,Washington Av & Grape St,33.129203,-117.076852,,20761,0,,1,N-W/B,,,Wshngtn&Grape
20767,Grand Av & Date St,33.125943,-117.069779,,20767,0,,1,N-W/B,,,Grand&Date
20771,El Norte Pkwy & Rimrock Dr,33.149456,-117.066246,,20771,0,,1,F-W/B,,,El Norte&Rimrock
20776,Grand Av & Gayland St,33.132975,-117.052721,,20776,0,,1,F-W/B,,,Grand&Gayland
20777,Grand Av & Midway Dr,33.134118,-117.050284,,20777,0,,1,F-W/B,,,Grand&Midway
20782,Valley Pkwy & Citrus Av,33.140911,-117.044840,,20782,0,,1,F-W/B,,,Vly&Citrus
20783,Hwy 78 & Highgrove Dr,33.102977,-117.036713,,20783,0,,1,N-W/B,,,Hwy 78 & Highgrove
20784,Valley Pkwy & Bear Valley Pkwy,33.143401,-117.039430,,20784,0,,1,F-W/B,,,Vly&Bear Vly
20785,Valley Center Rd & Lilac Rd,33.222112,-117.036746,,20785,0,,1,F-S/B,,,Vly Ctr & Lilac
20786,Valley Pkwy & Las Brisas Dr,33.147936,-117.034367,,20786,0,,2,N-W/B,,,Vly&Las Brisas
20787,Valley Center Rd & Queensbridge Rd,33.228383,-116.996232,,20787,0,,1,F-W/B,,,Vly Ctr & Queensbridge
20788,Hwy 78 & Old Milky Way,33.088323,-116.991603,,20788,0,,2,F-N/B,,,Hwy 78 & Old Milky Way
20789,Valley Center Rd & Thundernut Ln,33.228291,-116.976100,,20789,0,,1,F-W/B,,,Vly Ctr&Thundernut
20790,Hwy 76 & Valley Center Rd,33.288655,-116.960808,,20790,0,,2,N-E/B,,,Hwy 76 & Vly Ctr
20791,Hwy 78 & Indian Oaks Rd,33.072209,-116.900740,,20791,0,,2,F-W/B,,,Hwy 78 & Indian Oaks
20792,Hwy 78 & Weekend Villa Rd,33.070270,-116.885106,,20792,0,,2,F-W/B,78wvr,,Hwy 78 & Weekend Villa
20799,Santa Fe Av & 5th St,33.216205,-117.392664,,20799,0,,1,F-S/B,,,Santa Fe&5th
20800,Vandegrift Bl & Commissary,33.227000,-117.391945,,20800,0,,1,N-S/B,,,Vandegrift&Commissary
20801,Santa Fe Av & Harbor Dr,33.207928,-117.390539,,20801,0,,0,N-S/B,,,Santa Fe&Harbor
